pair	domain_axis	global_rg	global_rg_p	n_local_tests	n_atlas_FDR05	n_Bonferroni	n_pair_hotspots	global_local_class
BMI__Anxiety	Cardiometabolic x Internalizing	0.0409	0.0350095932184016	1327	6	0	5	BIDIRECTIONAL_LOCAL
BMI__MDD	Cardiometabolic x Internalizing	0.1464	2.66869328457441e-19	1407	26	3	25	BIDIRECTIONAL_LOCAL
BMI__PTSD	Cardiometabolic x Internalizing	0.1948	6.30151462065702e-26	893	3	0	3	GLOBAL_STRONG_LOCAL_PRESENT
CAD__Anxiety	Cardiometabolic x Internalizing	0.2064	5.168176095874979e-22	779	2	0	2	GLOBAL_STRONG_LOCAL_PRESENT
CAD__MDD	Cardiometabolic x Internalizing	0.2519	2.06902620671857e-51	812	7	1	7	GLOBAL_STRONG_LOCAL_PRESENT
CAD__PTSD	Cardiometabolic x Internalizing	0.2629	1.19724744313125e-37	509	3	0	3	GLOBAL_STRONG_LOCAL_PRESENT
CD__Anxiety	Immune x Internalizing	0.1472	6.5933856203849e-07	1036	4	0	2	BIDIRECTIONAL_LOCAL
CD__BMI	Immune x Cardiometabolic	0.0634	0.0062806341851378	636	3	1	3	GLOBAL_WEAK_LOCAL_PRESENT
CD__CAD	Immune x Cardiometabolic	0.0955	0.0012067150466653	444	4	1	4	BIDIRECTIONAL_LOCAL
CD__MDD	Immune x Internalizing	0.1414	9.28661773790368e-10	671	0	0	0	GLOBAL_WEAK_LOCAL_NULL
CD__PTSD	Immune x Internalizing	0.1416	2.96445504462481e-06	534	1	0	1	GLOBAL_STRONG_LOCAL_PRESENT
CD__T2D	Immune x Cardiometabolic	0.0414	0.166170104682876	227	2	0	2	GLOBAL_WEAK_LOCAL_PRESENT
PsA__Anxiety	Immune x Internalizing	0.0607	0.16096076824285	119	2	0	2	GLOBAL_WEAK_LOCAL_PRESENT
PsA__BMI	Immune x Cardiometabolic	0.1644	1.43961281579838e-05	157	2	1	2	GLOBAL_STRONG_LOCAL_PRESENT
PsA__CAD	Immune x Cardiometabolic	0.1438	0.0005138514745878	131	2	0	2	GLOBAL_STRONG_LOCAL_PRESENT
PsA__MDD	Immune x Internalizing	0.0436	0.244964770823212	84	3	0	2	GLOBAL_WEAK_LOCAL_PRESENT
PsA__PTSD	Immune x Internalizing	0.0439	0.335688409405848	62	6	0	4	GLOBAL_WEAK_LOCAL_PRESENT
PsA__T2D	Immune x Cardiometabolic	0.1492	0.0002643701120458	45	0	0	0	GLOBAL_WEAK_LOCAL_NULL
T2D__Anxiety	Cardiometabolic x Internalizing	0.1147	5.44841606530893e-08	351	0	0	0	GLOBAL_WEAK_LOCAL_NULL
T2D__MDD	Cardiometabolic x Internalizing	0.1858	3.0613325936490802e-25	278	4	0	4	GLOBAL_STRONG_LOCAL_PRESENT
T2D__PTSD	Cardiometabolic x Internalizing	0.2494	2.57906431678381e-28	212	1	0	1	GLOBAL_STRONG_LOCAL_PRESENT
UC__Anxiety	Immune x Internalizing	0.1274	8.85489686241413e-05	961	0	0	0	GLOBAL_WEAK_LOCAL_NULL
UC__BMI	Immune x Cardiometabolic	-0.0748	0.0017498067220442	539	1	0	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__CAD	Immune x Cardiometabolic	0.0125	0.688684436131914	395	1	0	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__MDD	Immune x Internalizing	0.0435	0.126931238256761	601	1	0	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__PTSD	Immune x Internalizing	0.0367	0.29437541149536	499	1	0	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__T2D	Immune x Cardiometabolic	-0.0495	0.0450648564324825	181	8	6	3	GLOBAL_WEAK_LOCAL_PRESENT
