pair_hotspot_id	pair	trait1	trait2	chr	start	stop	evidence_tier	coloc_status	nsnps_used	maf_source	trait1_type	trait2_type	trait1_case_fraction	trait2_case_fraction	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	coloc_evidence_class	overlapping_protein_coding_genes	top_mapped_traits
PH3B0_PH028	BMI__MDD	BMI	MDD	18	51060987	52512523	TIER_1	RUN	965	GWAS_EAF_MEAN	quant	cc		0.206080165861783	4.89681827143373e-24	8.92010986120524e-13	1.48236568507317e-13	0.0260290012014797	0.973970998797483	STRONG_SHARED_SIGNAL	MBD2;POLI;STARD6;C18orf54;DYNAP;RAB27B	memory performance;neuroticism measurement;platelet count;smoking initiation;atrial fibrillation;body height;educational attainment;smoking status measurement;colorectal cancer, hormone replacement therapy;self reported educational attainment;bone tissue density;gut microbiome measurement
PH3B0_PH052	CD__CAD	CD	CAD	3	47588462	50387742	TIER_1	RUN	719	LAVA_UKB_REF_FREQ	cc	cc	0.302836139671187	0.155721504001922	2.52092781174537e-24	2.45386391430601e-06	7.41566057183477e-20	0.0712550852281857	0.9287424609079	STRONG_SHARED_SIGNAL	CSPG5;SMARCC1;DHX30;MAP4;CDC25A;CAMP;ZNF589;NME6;SPINK8;FBXW12;PLXNB1;CCDC51	intelligence;body mass index;hematological measurement;body height;hepatocyte growth factor-like protein  level;self reported educational attainment;socioeconomic status;insomnia;reticulocyte amount;BMI-adjusted waist circumference;blood protein amount;diastolic blood pressure
PH3B0_PH002	BMI__Anxiety	BMI	Anxiety	9	14244748	14902924	TIER_1	RUN	748	GWAS_EAF_MEAN	quant	cc		0.143342902598966	7.22960039979606e-08	7.2686133386603e-05	0.0001584716997606	0.158485574027522	0.841283195843326	STRONG_SHARED_SIGNAL	NFIB;ZDHHC21;CER1;FREM1	body mass index;memory impairment;body height;educational attainment;self reported educational attainment;protein measurement;schizophrenia;serum gamma-glutamyl transferase measurement;smoking initiation;C-reactive protein measurement;insomnia;metabolic syndrome
PH3B0_PH007	BMI__MDD	BMI	MDD	1	72513120	73992170	TIER_1	RUN	872	GWAS_EAF_MEAN	quant	cc		0.206080165861783	5.8134508778106306e-67	2.37898728925972e-17	2.44366357650677e-50	0.99999891693064	1.0830693739279e-06	DISTINCT_SIGNAL_SUPPORTED	NEGR1	memory performance;insomnia;major depressive disorder;smoking initiation;Self-injurious behavior;substance-related disorder;schizophrenia;post-traumatic stress disorder;educational attainment;self reported educational attainment;taste liking measurement;vaginal microbiome measurement
PH3B0_PH011	BMI__MDD	BMI	MDD	3	47588462	50387742	TIER_1	RUN	714	GWAS_EAF_MEAN	quant	cc		0.206080165861783	1.65760717766531e-50	4.30456273798591e-13	3.85081430612123e-38	0.999999999781366	2.18204456233605e-10	DISTINCT_SIGNAL_SUPPORTED	CSPG5;SMARCC1;DHX30;MAP4;CDC25A;CAMP;ZNF589;NME6;SPINK8;FBXW12;PLXNB1;CCDC51	intelligence;body mass index;hematological measurement;body height;hepatocyte growth factor-like protein  level;self reported educational attainment;socioeconomic status;insomnia;reticulocyte amount;BMI-adjusted waist circumference;blood protein amount;diastolic blood pressure
PH3B0_PH003	BMI__Anxiety	BMI	Anxiety	14	46748239	48177483	TIER_2	RUN	1168	GWAS_EAF_MEAN	quant	cc		0.143342902598966	2.8669027503895904e-15	0.0001504635887391	1.47258295968668e-13	0.0067354395417367	0.993114096869378	STRONG_SHARED_SIGNAL	RPL10L;MDGA2	body mass index;diet measurement, testosterone measurement;pain measurement;mathematical ability;post-traumatic stress disorder;protein measurement;smoking initiation;body weight;color vision disorder;memory performance;trauma exposure measurement;type 2 diabetes mellitus
PH3B0_PH019	BMI__MDD	BMI	MDD	7	73128831	75243899	TIER_2	RUN	299	GWAS_EAF_MEAN	quant	cc		0.206080165861783	9.273272636484309e-29	0.0592776647980736	5.363855699452559e-28	0.342276019518992	0.598446315682936	SUGGESTIVE_SHARED_SIGNAL	STX1A;ABHD11;CLDN3;CLDN4;WBSCR27;WBSCR28;ELN;LIMK1;EIF4H;LAT2;RFC2;CLIP2	fatty acid amount;triglyceride measurement;high density lipoprotein cholesterol measurement;body height;polyunsaturated fatty acids to monounsaturated fatty acids ratio;metabolic syndrome;free cholesterol measurement;omega-3 polyunsaturated fatty acid measurement;polyunsaturated fatty acids to total fatty acids percentage;saturated fatty acids measurement;phospholipids:total lipids ratio;BMI-adjusted waist-hip ratio
PH3B0_PH049	CD__BMI	CD	BMI	4	102544804	104384534	TIER_2	RUN	453	LAVA_UKB_REF_FREQ	cc	quant	0.302836139671187		0.0001123746597686	0.00015250163063	0.416091988258121	0.564651966074034	0.0189911693774454	WEAK_OR_INCONCLUSIVE	BANK1;SLC39A8;NFKB1;MANBA;UBE2D3;CISD2;SLC9B1;SLC9B2;BDH2;CENPE	body height;glomerular filtration rate;testosterone measurement;serum creatinine amount;neutrophil-to-lymphocyte ratio;lymphocyte count;amount of iron in brain;type 2 diabetes mellitus;atrial fibrillation;bone tissue density;primary biliary cholangitis;age at menarche
PH3B0_PH042	CAD__MDD	CAD	MDD	17	1480057	2699135	TIER_2	RUN	351	GWAS_EAF_MEAN	cc	cc	0.155721504001922	0.206080165861783	3.0274428536369798e-12	0.880039125913939	3.67966632489639e-13	0.106950208551854	0.013010665530811	WEAK_OR_INCONCLUSIVE	SLC43A2;SCARF1;RILP;PRPF8;TLCD2;WDR81;SERPINF2;SERPINF1;SMYD4;RPA1;RTN4RL1;DPH1	cortical thickness;body height;body mass index;serum albumin amount;scavenger receptor class F member 1 measurement;platelet count;pigment epithelium-derived factor measurement;neuroticism measurement;sex hormone-binding globulin measurement;blood protein amount;bone tissue density;systolic blood pressure
PH3B0_PH027	BMI__MDD	BMI	MDD	17	7264459	8554763	TIER_2	RUN	551	GWAS_EAF_MEAN	quant	cc		0.206080165861783	0.0009368053573752	0.0101101939652803	0.0828542496896326	0.894167984639955	0.0119307663477575	DISTINCT_SIGNAL_SUPPORTED	TNK1;TMEM256-PLSCR3;C17orf61-PLSCR3;TMEM256;NLGN2;SPEM1;C17orf74;TMEM102;FGF11;CHRNB1;ZBTB4;SLC35G6	sex hormone-binding globulin measurement;testosterone measurement;body fat percentage;body height;uterine corpus leiomyoma;blood protein amount;systolic blood pressure;diastolic blood pressure;mean corpuscular hemoglobin concentration;eosinophil count;level of serum globulin type protein;level of thialysine N-epsilon-acetyltransferase in blood
