pair	locus	chr	start	stop	domain_axis	primary_rho	noUKBB_rho_raw	rho_display	noUKBB_rho_display	abs_delta_rho	relative_magnitude	direction_same	eligibility_same	primary_P	noUKBB_P	primary_FDR	noUKBB_sensitivity_fdr	robustness_class	noUKBB_exclusion_reason
UC__MDD	465	3	50387743	51953968	Immune__Psychiatric	-0.723942	-0.759338	-0.723942	-0.759338	0.035396	1.04889341963859	True	True	0.000182727	0.000101571	0.0334321334210526	0.043912529	MDD_ROBUST	ELIGIBLE
PsA__MDD	957	6	30715007	31106493	Immune__Psychiatric	0.422531	0.278131	0.422531	0.278131	0.1444	0.658249927224275	True	True	7.78127e-05	0.00704318	0.0236518618043478	0.18642866244898	MDD_ROBUST	ELIGIBLE
PsA__MDD	958	6	31106494	31250556	Immune__Psychiatric	0.530442	0.438892	0.530442	0.438892	0.09155	0.827408086086698	True	True	0.000270728	0.00980662	0.0442401402352941	0.223143616491228	MDD_ROBUST	ELIGIBLE
PsA__MDD	962	6	32208902	32454577	Immune__Psychiatric	0.74895	0.508722	0.74895	0.508722	0.240228	0.679246945724014	True	True	0.000257811	0.0366636	0.0431445155421687	0.394083059668508	MDD_ROBUST	ELIGIBLE
BMI__MDD	59	1	68633861	69438909	Cardiometabolic__Psychiatric	1.03966	0.987074	1.0	0.987074	0.052586	0.949420002693188	True	True	9.38907e-05	0.000291115	0.0244696271666667	0.059617287631579	MDD_ROBUST	ELIGIBLE
BMI__MDD	62	1	72513120	73992170	Cardiometabolic__Psychiatric	0.46724	0.447215	0.46724	0.447215	0.020025	0.957141939902406	True	True	2.57057e-06	1.6948e-05	0.002746555176923	0.016486167	MDD_ROBUST	ELIGIBLE
BMI__MDD	155	1	201067953	202583884	Cardiometabolic__Psychiatric	0.707549	0.558474	0.707549	0.558474	0.149075	0.789307878323622	True	True	7.83287e-05	0.000515865	0.0236518618043478	0.06272595984375	MDD_ROBUST	ELIGIBLE
BMI__MDD	209	2	5568654	6306606	Cardiometabolic__Psychiatric	0.629983	0.633059	0.629983	0.633059	0.003076	1.00488267143717	True	True	0.000307239	0.000285473	0.047417219	0.059617287631579	MDD_ROBUST	ELIGIBLE
BMI__MDD	456	3	35913034	36840136	Cardiometabolic__Psychiatric	1.19501		1.0				False	True	2.48696e-06		0.002746555176923		MDD_NOT_TESTABLE	ELIGIBLE
BMI__MDD	464	3	47588462	50387742	Cardiometabolic__Psychiatric	0.405412	0.436449	0.405412	0.436449	0.031037	1.07655668801121	True	True	0.000227672	0.000128791	0.039058337037037	0.0455568891818182	MDD_ROBUST	ELIGIBLE
BMI__MDD	473	3	60571140	61277587	Cardiometabolic__Psychiatric	-0.626018	-0.552935	-0.626018	-0.552935	0.073083	0.883257350427624	True	True	0.000274576	0.00107654	0.0443472167441861	0.0818493466666667	MDD_ROBUST	ELIGIBLE
BMI__MDD	559	3	157633701	158460058	Cardiometabolic__Psychiatric	-0.891288	-0.936702	-0.891288	-0.936702	0.0454140000000001	1.05095322723968	True	True	5.35497e-05	3.29443e-05	0.0177096507857143	0.0194023047428571	MDD_ROBUST	ELIGIBLE
BMI__MDD	573	3	172004761	173415591	Cardiometabolic__Psychiatric	0.881567		0.881567				False	False	0.000304459		0.047417219		MDD_NOT_TESTABLE	UNIV_P_FAIL_TRAIT2
BMI__MDD	626	4	28177793	28927438	Cardiometabolic__Psychiatric	0.858951	0.730458	0.858951	0.730458	0.128493	0.850407066293654	True	True	0.00022777	0.00260968	0.039058337037037	0.124832893058824	MDD_ROBUST	ELIGIBLE
BMI__MDD	862	5	103788461	104850490	Cardiometabolic__Psychiatric	0.852776	0.663764	0.852776	0.663764	0.189012	0.778356801786167	True	True	9.51303e-05	0.00285804	0.0244696271666667	0.127823375172414	MDD_ROBUST	ELIGIBLE
BMI__MDD	1096	7	1366973	2473749	Cardiometabolic__Psychiatric	0.847025	0.780127	0.847025	0.780127	0.066898	0.921020040730793	True	True	1.48348e-06	8.98033e-06	0.0018732306545454	0.01164748801	MDD_ROBUST	ELIGIBLE
BMI__MDD	1130	7	32460229	33159277	Cardiometabolic__Psychiatric	1.09251		1.0				False	False	0.000167085		0.0334048547142857		MDD_NOT_TESTABLE	UNIV_P_FAIL_TRAIT2
BMI__MDD	1166	7	73128831	75243899	Cardiometabolic__Psychiatric	0.518708	0.521603	0.518708	0.521603	0.002895	1.00558117476499	True	True	0.000172847	0.000898824	0.0334321334210526	0.0777183152	MDD_ROBUST	ELIGIBLE
BMI__MDD	1324	8	92876621	94999066	Cardiometabolic__Psychiatric	0.606518	0.43761	0.606518	0.43761	0.168908	0.721511974912534	True	True	4.31593e-05	0.00362293	0.014987066925	0.146448415051546	MDD_ROBUST	ELIGIBLE
BMI__MDD	1384	9	10675475	11270764	Cardiometabolic__Psychiatric	0.833469	0.817366	0.833469	0.817366	0.016103	0.980679545370014	True	True	1.57489e-05	0.000117567	0.009114675875	0.0455568891818182	MDD_ROBUST	ELIGIBLE
BMI__MDD	1385	9	11270765	12044915	Cardiometabolic__Psychiatric	0.831669	0.6672	0.831669	0.6672	0.164469	0.802242238198129	True	True	3.57746e-05	0.00130316	0.0134299782162162	0.087102343220339	MDD_ROBUST	ELIGIBLE
BMI__MDD	1657	11	45019560	46316005	Cardiometabolic__Psychiatric	0.528197	0.580989	0.528197	0.580989	0.052792	1.09994755744542	True	True	0.000168347	0.000215414	0.0334048547142857	0.0570866768	MDD_ROBUST	ELIGIBLE
BMI__MDD	1850	12	121817510	123396634	Cardiometabolic__Psychiatric	0.591351	0.548353	0.591351	0.548353	0.042998	0.927288530838707	True	True	2.96011e-05	0.000492589	0.0128163438529412	0.061827864483871	MDD_ROBUST	ELIGIBLE
BMI__MDD	1895	13	53336572	54684856	Cardiometabolic__Psychiatric	0.481125	0.374446	0.481125	0.374446	0.106679	0.778271758898415	True	True	0.000158543	0.00620788	0.0330671144776119	0.175306065755396	MDD_ROBUST	ELIGIBLE
BMI__MDD	1921	13	81724090	82582821	Cardiometabolic__Psychiatric	1.01841	1.09941	1.0	1.0	0.081	1.07953574689958	True	True	0.000332898	0.000173561	0.0497199270967742	0.0519481423846154	MDD_ROBUST	ELIGIBLE
BMI__MDD	2135	16	53393883	54866095	Cardiometabolic__Psychiatric	0.372338	0.348296	0.372338	0.348296	0.024042	0.935429636513061	True	True	2.34722e-05	0.000398587	0.0116438877857143	0.0605320276	MDD_ROBUST	ELIGIBLE
BMI__MDD	2181	17	7264459	8554763	Cardiometabolic__Psychiatric	0.662109	0.635722	0.662109	0.635722	0.0263869999999999	0.960147045275023	True	True	1.46175e-05	0.000165832	0.0090456511304347	0.0519481423846154	MDD_ROBUST	ELIGIBLE
BMI__MDD	2280	18	51060987	52512523	Cardiometabolic__Psychiatric	-0.548892	-0.507511	-0.548892	-0.507511	0.041381	0.924609941482113	True	True	0.000100426	0.00119608	0.0253621298181818	0.0839587473214286	MDD_ROBUST	ELIGIBLE
BMI__MDD	2408	20	44072211	45673603	Cardiometabolic__Psychiatric	0.637361	0.475514	0.637361	0.475514	0.161847	0.746066985585877	True	True	0.000202803	0.00563949	0.0361145342307692	0.170285782954545	MDD_ROBUST	ELIGIBLE
